subsample	bootstrap	mrca	same_city	different_city	same_country	different_country_same_continent	different_country	neighbors	not_neighbors	close_countries	distant_countries	different_continent
subsample_0055	1	[0,2]	117	10	127	2	2	2	0	2	0	0
subsample_0055	1	(2,6]	45	190	235	8	8	8	0	8	0	0
subsample_0055	1	(6,40]	55	338	393	395	395	382	13	395	0	0
subsample_0056	1	[0,2]	104	27	131	6	6	6	0	6	0	0
subsample_0056	1	(2,6]	60	132	192	6	6	6	0	6	0	0
subsample_0056	1	(6,40]	46	475	521	345	345	332	13	345	0	0
subsample_0057	1	[0,2]	96	29	125	3	3	3	0	3	0	0
subsample_0057	1	(2,6]	57	197	254	8	8	8	0	8	0	0
subsample_0057	1	(6,40]	60	359	419	372	372	357	15	372	0	0
subsample_0058	1	[0,2]	101	24	125	1	1	1	0	1	0	0
subsample_0058	1	(2,6]	11	15	26	1	1	1	0	1	0	0
subsample_0058	1	(6,40]	99	373	472	281	281	263	18	281	0	0
subsample_0059	1	[0,2]	96	22	118	0	0	0	0	0	0	0
subsample_0059	1	(2,6]	45	177	222	2	2	2	0	2	0	0
subsample_0059	1	(6,40]	60	231	291	410	410	363	47	410	0	0
subsample_0060	1	[0,2]	76	20	96	5	5	5	0	5	0	0
subsample_0060	1	(2,6]	48	161	209	7	7	7	0	7	0	0
subsample_0060	1	(6,40]	66	273	339	325	325	301	24	325	0	0
subsample_0061	1	[0,2]	90	6	96	6	6	6	0	6	0	0
subsample_0061	1	(2,6]	41	148	189	7	7	7	0	7	0	0
subsample_0061	1	(6,40]	51	346	397	381	381	354	27	381	0	0
subsample_0062	1	[0,2]	79	22	101	2	2	2	0	2	0	0
subsample_0062	1	(2,6]	60	132	192	2	2	2	0	2	0	0
subsample_0062	1	(6,40]	51	395	446	365	365	341	24	365	0	0
subsample_0063	1	[0,2]	75	18	93	2	2	2	0	2	0	0
subsample_0063	1	(2,6]	85	139	224	0	0	0	0	0	0	0
subsample_0063	1	(6,40]	48	371	419	340	340	308	32	340	0	0
subsample_0064	1	[0,2]	77	24	101	4	4	4	0	4	0	0
subsample_0064	1	(2,6]	44	131	175	5	5	5	0	5	0	0
subsample_0064	1	(6,40]	68	355	423	292	292	270	22	292	0	0
subsample_0065	1	[0,2]	58	18	76	1	1	1	0	1	0	0
subsample_0065	1	(2,6]	66	125	191	4	4	4	0	4	0	0
subsample_0065	1	(6,40]	69	271	340	282	282	278	4	282	0	0
subsample_0066	1	[0,2]	117	8	125	1	1	1	0	1	0	0
subsample_0066	1	(2,6]	78	111	189	6	6	6	0	6	0	0
subsample_0066	1	(6,40]	41	248	289	285	285	271	14	285	0	0
subsample_0067	1	[0,2]	165	23	188	5	5	5	0	5	0	0
subsample_0067	1	(2,6]	96	131	227	5	5	5	0	5	0	0
subsample_0067	1	(6,40]	31	323	354	378	378	360	18	378	0	0
subsample_0068	1	[0,2]	102	21	123	6	6	6	0	6	0	0
subsample_0068	1	(2,6]	94	226	320	11	11	11	0	11	0	0
subsample_0068	1	(6,40]	32	175	207	390	390	350	40	390	0	0
subsample_0069	1	[0,2]	128	9	137	1	1	1	0	1	0	0
subsample_0069	1	(2,6]	63	130	193	2	2	2	0	2	0	0
subsample_0069	1	(6,40]	51	206	257	300	300	268	32	300	0	0
subsample_0070	1	[0,2]	117	38	155	2	2	2	0	2	0	0
subsample_0070	1	(2,6]	64	192	256	5	5	5	0	5	0	0
subsample_0070	1	(6,40]	18	183	201	324	324	300	24	324	0	0
subsample_0071	1	[0,2]	126	5	131	2	2	2	0	2	0	0
subsample_0071	1	(2,6]	66	62	128	8	8	8	0	8	0	0
subsample_0071	1	(6,40]	67	391	458	285	285	260	25	285	0	0
subsample_0072	1	[0,2]	123	14	137	7	7	7	0	7	0	0
subsample_0072	1	(2,6]	68	106	174	6	6	6	0	6	0	0
subsample_0072	1	(6,40]	54	280	334	294	294	271	23	294	0	0
subsample_0073	1	[0,2]	134	23	157	1	1	1	0	1	0	0
subsample_0073	1	(2,6]	63	178	241	10	10	10	0	10	0	0
subsample_0073	1	(6,40]	38	397	435	259	259	230	29	259	0	0
subsample_0074	1	[0,2]	76	12	88	0	0	0	0	0	0	0
subsample_0074	1	(2,6]	63	108	171	11	11	11	0	11	0	0
subsample_0074	1	(6,40]	31	243	274	318	318	276	42	318	0	0
subsample_0075	1	[0,2]	88	16	104	2	2	2	0	2	0	0
subsample_0075	1	(2,6]	82	181	263	7	7	7	0	7	0	0
subsample_0075	1	(6,40]	56	375	431	337	337	331	6	337	0	0
subsample_0076	1	[0,2]	117	23	140	2	2	2	0	2	0	0
subsample_0076	1	(2,6]	83	258	341	5	5	5	0	5	0	0
subsample_0076	1	(6,40]	45	245	290	340	340	323	17	340	0	0
subsample_0077	1	[0,2]	102	12	114	0	0	0	0	0	0	0
subsample_0077	1	(2,6]	73	133	206	7	7	7	0	7	0	0
subsample_0077	1	(6,40]	49	308	357	209	209	180	29	209	0	0
subsample_0078	1	[0,2]	83	18	101	0	0	0	0	0	0	0
subsample_0078	1	(2,6]	45	11	56	3	3	3	0	3	0	0
subsample_0078	1	(6,40]	114	491	605	232	232	231	1	232	0	0
subsample_0079	1	[0,2]	116	19	135	0	0	0	0	0	0	0
subsample_0079	1	(2,6]	75	151	226	4	4	4	0	4	0	0
subsample_0079	1	(6,40]	47	482	529	333	333	318	15	333	0	0
subsample_0080	1	[0,2]	99	12	111	0	0	0	0	0	0	0
