subsample	bootstrap	mrca	same_city	different_city	same_country	different_country_same_continent	different_country	neighbors	not_neighbors	close_countries	distant_countries	different_continent
subsample_0048	1	(6,12]	129	645	1163	2787	4895	856	1931	1835	952	2108
subsample_0048	1	(12,40]	206	712	1974	17173	29674	3494	13679	8402	8771	12501
subsample_0049	1	[0,6]	525	170	1254	179	230	44	135	55	124	51
subsample_0049	1	(6,12]	156	761	1430	3760	5820	1165	2595	2594	1166	2060
subsample_0049	1	(12,40]	169	592	1832	15378	27492	3558	11820	7199	8179	12114
subsample_0050	1	[0,6]	458	395	1333	170	205	58	112	64	106	35
subsample_0050	1	(6,12]	108	326	945	2491	4276	795	1696	1615	876	1785
subsample_0050	1	(12,40]	235	827	2187	16949	28874	3867	13082	8481	8468	11925
subsample_0051	1	[0,6]	591	971	2436	1445	2063	345	1100	640	805	618
subsample_0051	1	(6,12]	121	356	771	7953	13866	2550	5403	5046	2907	5913
subsample_0051	1	(12,40]	154	613	1429	9406	16542	1978	7428	3831	5575	7136
subsample_0052	1	[0,6]	611	784	2479	1738	2921	392	1346	885	853	1183
subsample_0052	1	(6,12]	73	359	712	8219	13552	2224	5995	5393	2826	5333
subsample_0052	1	(12,40]	124	415	1326	9812	16693	1606	8206	3871	5941	6881
subsample_0053	1	[0,6]	417	236	1557	292	433	93	199	131	161	141
subsample_0053	1	(6,12]	111	755	1250	5925	10663	2032	3893	3960	1965	4738
subsample_0053	1	(12,40]	185	519	1654	12870	22544	2129	10741	5602	7268	9674
subsample_0054	1	[0,6]	498	476	1668	216	291	73	143	95	121	75
subsample_0054	1	(6,12]	83	379	870	2596	5074	859	1737	1621	975	2478
subsample_0054	1	(12,40]	180	860	2078	16222	28037	3949	12273	8541	7681	11815
subsample_0055	1	[0,6]	506	181	1228	130	146	51	79	56	74	16
subsample_0055	1	(6,12]	154	718	1113	583	789	250	333	332	251	206
subsample_0055	1	(12,40]	255	952	2416	18563	32423	4367	14196	9644	8919	13860
subsample_0056	1	[0,6]	606	635	2060	269	330	77	192	86	183	61
subsample_0056	1	(6,12]	104	366	798	4389	7852	1034	3355	2930	1459	3463
subsample_0056	1	(12,40]	215	827	1658	14094	24276	3970	10124	7594	6500	10182
subsample_0057	1	[0,6]	570	637	1928	359	514	118	241	153	206	155
subsample_0057	1	(6,12]	106	557	998	7224	11969	2537	4687	4854	2370	4745
subsample_0057	1	(12,40]	171	611	1748	11672	21812	2389	9283	5531	6141	10140
subsample_0058	1	[0,6]	616	599	2252	1027	1533	381	646	590	437	506
subsample_0058	1	(6,12]	133	556	931	8199	14121	2380	5819	5280	2919	5922
subsample_0058	1	(12,40]	112	516	1353	9677	17703	1860	7817	3965	5712	8026
subsample_0059	1	[0,6]	544	472	1520	168	199	71	97	82	86	31
subsample_0059	1	(6,12]	90	455	1107	3880	6647	985	2895	2358	1522	2767
subsample_0059	1	(12,40]	191	730	1931	15433	26981	3391	12042	7510	7923	11548
subsample_0060	1	[0,6]	508	428	1783	383	533	85	298	138	245	150
subsample_0060	1	(6,12]	64	481	860	5265	8932	1791	3474	3640	1625	3667
subsample_0060	1	(12,40]	143	485	1806	14554	24884	2229	12325	6272	8282	10330
subsample_0061	1	[0,6]	449	182	1195	104	144	56	48	59	45	40
subsample_0061	1	(6,12]	183	661	1125	2033	2732	682	1351	1302	731	699
subsample_0061	1	(12,40]	196	746	1974	17888	30507	3922	13966	8940	8948	12619
subsample_0062	1	[0,6]	435	221	1154	124	165	41	83	53	71	41
subsample_0062	1	(6,12]	144	466	1106	2503	3799	735	1768	1459	1044	1296
subsample_0062	1	(12,40]	207	584	1948	17523	30071	3896	13627	9152	8371	12548
subsample_0063	1	[0,6]	460	417	1691	338	435	126	212	157	181	97
subsample_0063	1	(6,12]	85	326	746	3379	5639	962	2417	2119	1260	2260
subsample_0063	1	(12,40]	150	686	1842	15274	26848	3230	12044	7831	7443	11574
subsample_0064	1	[0,6]	546	489	1704	681	1026	258	423	428	253	345
subsample_0064	1	(6,12]	85	465	855	7450	12552	2258	5192	5001	2449	5102
subsample_0064	1	(12,40]	161	577	1737	11316	20092	2468	8848	4845	6471	8776
subsample_0065	1	[0,6]	572	406	1375	180	222	68	112	80	100	42
subsample_0065	1	(6,12]	84	331	1014	3041	4660	809	2232	1836	1205	1619
subsample_0065	1	(12,40]	227	736	2089	17017	28895	3888	13129	8689	8328	11878
subsample_0066	1	[0,6]	399	299	906	103	112	24	79	25	78	9
subsample_0066	1	(6,12]	84	504	1406	2154	3526	328	1826	1083	1071	1372
subsample_0066	1	(12,40]	278	647	2007	17849	30209	3933	13916	8991	8858	12360
subsample_0067	1	[0,6]	421	174	999	144	164	67	77	77	67	20
subsample_0067	1	(6,12]	127	720	1393	2060	3688	564	1496	1182	878	1628
subsample_0067	1	(12,40]	243	834	2146	17275	30299	4155	13120	8537	8738	13024
subsample_0068	1	[0,6]	549	457	1559	115	145	57	58	63	52	30
subsample_0068	1	(6,12]	79	373	1002	2077	3537	632	1445	1331	746	1460
subsample_0068	1	(12,40]	234	703	1820	16934	30006	3815	13119	8414	8520	13072
subsample_0069	1	[0,6]	355	208	1298	203	242	47	156	56	147	39
subsample_0069	1	(6,12]	86	372	1058	2586	4006	577	2009	1361	1225	1420
subsample_0069	1	(12,40]	187	604	2016	17068	29043	3576	13492	8320	8748	11975
subsample_0070	1	[0,6]	615	639	1838	224	295	82	142	106	118	71
subsample_0070	1	(6,12]	77	329	756	4515	7333	1119	3396	2733	1782	2818
subsample_0070	1	(12,40]	199	657	1681	14630	24831	3480	11150	7411	7219	10201
subsample_0071	1	[0,6]	422	324	1211	130	194	45	85	47	83	64
subsample_0071	1	(6,12]	112	528	1195	2470	4246	746	1724	1582	888	1776
subsample_0071	1	(12,40]	192	661	1895	16458	28530	4032	12426	8881	7577	12072
subsample_0072	1	[0,6]	491	459	1505	403	578	123	280	209	194	175
subsample_0072	1	(6,12]	104	403	860	6347	10039	2298	4049	4273	2074	3692
subsample_0072	1	(12,40]	177	414	1683	13364	24285	2365	10999	5988	7376	10921
subsample_0073	1	[0,6]	547	532	1423	187	295	99	88	135	52	108
subsample_0073	1	(6,12]	81	538	1115	3838	6862	1323	2515	2804	1034	3024
subsample_0073	1	(12,40]	236	651	1867	15894	28152	3191	12703	7545	8349	12258
subsample_0074	1	[0,6]	365	226	936	75	84	44	31	48	27	9
subsample_0074	1	(6,12]	99	464	1038	1422	1744	501	921	1041	381	322
subsample_0074	1	(12,40]	217	688	2139	18227	30432	3764	14463	8515	9712	12205
subsample_0075	1	[0,6]	540	698	2338	1848	2752	498	1350	1012	836	904
subsample_0075	1	(6,12]	74	342	686	7541	13456	1969	5572	4749	2792	5915
subsample_0075	1	(12,40]	119	542	1579	10120	17162	2072	8048	4078	6042	7042
subsample_0076	1	[0,6]	418	185	1098	205	251	70	135	95	110	46
subsample_0076	1	(6,12]	148	571	1000	3828	5988	1187	2641	2589	1239	2160
subsample_0076	1	(12,40]	224	767	2189	15905	27141	3823	12082	8068	7837	11236
subsample_0077	1	[0,6]	496	107	864	103	129	49	54	53	50	26
subsample_0077	1	(6,12]	170	736	1478	1716	2949	497	1219	1009	707	1233
subsample_0077	1	(12,40]	218	815	2240	16420	28504	4284	12136	8646	7774	12084
subsample_0078	1	[0,6]	428	220	1347	286	328	60	226	80	206	42
subsample_0078	1	(6,12]	107	603	1154	3274	5358	930	2344	1918	1356	2084
subsample_0078	1	(12,40]	215	593	1739	15844	25925	3670	12174	7502	8342	10081
subsample_0079	1	[0,6]	565	625	2135	1125	1593	322	803	678	447	468
subsample_0079	1	(6,12]	72	453	719	7629	12323	2340	5289	5024	2605	4694
subsample_0079	1	(12,40]	124	526	1543	10076	18254	2006	8070	4411	5665	8178
subsample_0080	1	[0,6]	582	808	2446	1609	2503	302	1307	740	869	894
subsample_0080	1	(6,12]	63	291	457	5708	10233	1873	3835	3903	1805	4525
subsample_0080	1	(12,40]	121	522	1563	11714	20207	2229	9485	4625	7089	8493
subsample_0081	1	[0,6]	337	87	681	102	127	26	76	27	75	25
subsample_0081	1	(6,12]	219	650	1485	492	698	171	321	249	243	206
subsample_0081	1	(12,40]	200	422	1675	18260	31885	4222	14038	9762	8498	13625
subsample_0082	1	[0,6]	438	446	1404	239	331	78	161	109	130	92
subsample_0082	1	(6,12]	74	406	947	2979	5354	761	2218	1821	1158	2375
subsample_0082	1	(12,40]	206	814	2168	16547	27967	3756	12791	7756	8791	11420
subsample_0083	1	[0,6]	453	237	1300	182	205	53	129	74	108	23
subsample_0083	1	(6,12]	84	587	1023	2370	2718	701	1669	1649	721	348
subsample_0083	1	(12,40]	197	711	2032	16989	29526	3748	13241	8330	8659	12537
subsample_0084	1	[0,6]	312	67	802	88	106	34	54	38	50	18
subsample_0084	1	(6,12]	200	704	1328	717	987	302	415	555	162	270
subsample_0084	1	(12,40]	236	684	2156	19097	32265	3889	15208	9472	9625	13168
subsample_0085	1	[0,6]	572	581	1715	174	207	62	112	66	108	33
subsample_0085	1	(6,12]	80	348	732	2373	3890	543	1830	1425	948	1517
subsample_0085	1	(12,40]	198	761	2061	16830	28581	3916	12914	8841	7989	11751
subsample_0086	1	[0,6]	682	491	1642	216	227	81	135	89	127	11
subsample_0086	1	(6,12]	83	363	727	1518	1733	545	973	1123	395	215
subsample_0086	1	(12,40]	210	914	2203	17962	31271	4073	13889	9036	8926	13309
subsample_0087	1	[0,6]	511	433	1557	145	155	47	98	55	90	10
subsample_0087	1	(6,12]	114	543	1079	1844	2991	452	1392	1065	779	1147
subsample_0087	1	(12,40]	253	771	1959	17188	30018	4045	13143	9045	8143	12830
subsample_0088	1	[0,6]	405	483	1575	234	304	66	168	85	149	70
subsample_0088	1	(6,12]	123	398	722	4212	6959	1637	2575	3085	1127	2747
subsample_0088	1	(12,40]	217	834	1904	14994	26164	3164	11830	7375	7619	11170
subsample_0089	1	[0,6]	496	219	1262	193	208	77	116	83	110	15
subsample_0089	1	(6,12]	108	543	1152	1154	1938	346	808	624	530	784
subsample_0089	1	(12,40]	282	857	2250	17585	29807	4273	13312	9350	8235	12222
subsample_0090	1	[0,6]	570	711	2436	1908	2483	608	1300	1199	709	575
subsample_0090	1	(6,12]	68	332	674	7833	13653	2112	5721	4984	2849	5820
subsample_0090	1	(12,40]	139	385	1263	9152	16070	1537	7615	3329	5823	6918
subsample_0091	1	[0,6]	458	172	1081	143	185	62	81	72	71	42
subsample_0091	1	(6,12]	143	609	1218	2435	4892	855	1580	1698	737	2457
subsample_0091	1	(12,40]	260	860	2128	17306	29511	3927	13379	8694	8612	12205
subsample_0092	1	[0,6]	389	166	1024	125	155	34	91	38	87	30
subsample_0092	1	(6,12]	171	694	1287	1719	2974	465	1254	1059	660	1255
subsample_0092	1	(12,40]	194	667	2360	17169	30042	3579	13590	7879	9290	12873
subsample_0093	1	[0,6]	412	431	1296	154	175	54	100	62	92	21
subsample_0093	1	(6,12]	68	375	939	2208	3638	720	1488	1521	687	1430
subsample_0093	1	(12,40]	211	943	2276	16821	29490	3760	13061	8903	7918	12669
subsample_0094	1	[0,6]	507	427	1506	307	430	100	207	132	175	123
subsample_0094	1	(6,12]	82	317	750	5357	8285	1406	3951	3326	2031	2928
subsample_0094	1	(12,40]	198	692	1813	14458	25240	2978	11480	6681	7777	10782
