subsample	bootstrap	mrca	same_city	different_city	same_country	different_country_same_continent	different_country	neighbors	not_neighbors	close_countries	distant_countries	different_continent
subsample_0084	1	(12,40]	187	435	2902	6048	18290	1211	4837	614	5434	12242
subsample_0085	1	[0,6]	131	190	1091	232	433	106	126	21	211	201
subsample_0085	1	(6,12]	62	224	865	2465	5793	698	1767	202	2263	3328
subsample_0085	1	(12,40]	309	906	4536	6269	23833	1380	4889	633	5636	17564
subsample_0086	1	[0,6]	132	18	380	37	51	9	28	6	31	14
subsample_0086	1	(6,12]	80	161	1089	2310	4387	526	1784	104	2206	2077
subsample_0086	1	(12,40]	289	887	4365	6956	23775	2210	4746	597	6359	16819
subsample_0087	1	[0,6]	210	179	960	373	871	54	319	42	331	498
subsample_0087	1	(6,12]	63	204	818	3016	7281	942	2074	386	2630	4265
subsample_0087	1	(12,40]	219	492	3497	4767	21046	1403	3364	499	4268	16279
subsample_0088	1	[0,6]	67	11	191	5	12	3	2	2	3	7
subsample_0088	1	(6,12]	55	26	275	44	71	14	30	8	36	27
subsample_0088	1	(12,40]	149	504	2138	3354	9060	954	2400	353	3001	5706
subsample_0089	1	[0,6]	183	37	578	36	53	2	34	3	33	17
subsample_0089	1	(6,12]	70	187	811	559	987	99	460	21	538	428
subsample_0089	1	(12,40]	226	403	2047	5736	17186	1800	3936	684	5052	11450
subsample_0090	1	[0,6]	81	20	332	9	16	1	8	0	9	7
subsample_0090	1	(6,12]	44	62	315	278	356	140	138	31	247	78
subsample_0090	1	(12,40]	257	812	3844	8442	26696	2355	6087	848	7594	18254
subsample_0091	1	[0,6]	68	16	239	5	10	3	2	2	3	5
subsample_0091	1	(6,12]	75	58	403	76	158	7	69	6	70	82
subsample_0091	1	(12,40]	134	346	2474	4113	12178	1577	2536	515	3598	8065
subsample_0092	1	[0,6]	63	8	231	12	25	3	9	4	8	13
subsample_0092	1	(6,12]	29	70	461	184	292	36	148	14	170	108
subsample_0092	1	(12,40]	164	325	2740	5561	18243	1551	4010	673	4888	12682
subsample_0093	1	[0,6]	81	36	441	100	147	39	61	13	87	47
subsample_0093	1	(6,12]	76	171	1212	2423	4754	680	1743	113	2310	2331
subsample_0093	1	(12,40]	278	534	4055	6421	23996	1546	4875	782	5639	17575
subsample_0094	1	[0,6]	121	36	426	28	43	4	24	3	25	15
subsample_0094	1	(6,12]	67	146	652	833	1347	227	606	35	798	514
subsample_0094	1	(12,40]	371	581	3098	7728	25065	2092	5636	749	6979	17337
subsample_0095	1	[0,6]	97	32	298	20	46	7	13	2	18	26
subsample_0095	1	(6,12]	81	174	691	821	1624	174	647	50	771	803
subsample_0095	1	(12,40]	253	700	4821	7533	27807	2104	5429	796	6737	20274
subsample_0096	1	[0,6]	69	13	274	5	12	1	4	0	5	7
subsample_0096	1	(6,12]	73	89	712	284	371	73	211	18	266	87
subsample_0096	1	(12,40]	236	498	2923	6325	19850	1804	4521	637	5688	13525
subsample_0097	1	[0,6]	120	15	518	180	218	115	65	16	164	38
subsample_0097	1	(6,12]	58	94	482	881	2187	167	714	180	701	1306
subsample_0097	1	(12,40]	351	680	4809	8956	27240	2840	6116	622	8334	18284
subsample_0098	1	[0,6]	67	23	473	28	43	6	22	6	22	15
subsample_0098	1	(6,12]	74	258	1160	2498	4742	553	1945	115	2383	2244
subsample_0098	1	(12,40]	187	873	4738	7049	24791	2029	5020	726	6323	17742
subsample_0099	1	[0,6]	119	20	348	9	39	1	8	2	7	30
subsample_0099	1	(6,12]	67	84	667	378	535	36	342	14	364	157
subsample_0099	1	(12,40]	299	829	3982	8427	26767	2647	5780	738	7689	18340
subsample_0100	1	[0,6]	111	110	1167	749	1144	153	596	45	704	395
subsample_0100	1	(6,12]	112	246	1287	3483	7934	887	2596	373	3110	4451
subsample_0100	1	(12,40]	171	608	3382	5294	20715	1250	4044	472	4822	15421
